NumberOfFollowings,NumberOfFollowers,NumberOfTweets,AccountAge,no_userfavourites,no_retweets,no_statuses,spammer
3269,3071,861,1217,0.9394310186601408,0.7074774034511093,0.335,1
1949,793,226,1329,0.4068753206772704,0.1700526711813393,0.2727272727272727,1
1119,9644,38674,1272,8.618409294012512,30.404088050314467,0.5532994923857868,1
2174,6029,12718,1105,2.7732290708371665,11.50950226244344,0.445,1
7731,7029,873,1105,0.9091967403958092,0.7900452488687782,0.105,1
120,130,686,1261,1.0833333333333333,0.5440126883425852,0.1428571428571428,1
1660,23977,23205,1186,14.443975903614458,19.56576728499157,0.8434343434343434,1
1320,969,3528,1042,0.7340909090909091,3.385796545105566,0.5888324873096447,1
11239,10537,2749,1060,0.9375389269507964,2.5933962264150945,0.05,1
3779,3920,1830,1137,1.0373114580576872,1.6094986807387863,0.355,1
12848,12933,2315,1035,1.0066158156911582,2.236714975845411,0.01,1
3697,5129,7819,1027,1.3873410873681362,7.613437195715677,0.605,1
2990,3367,2361,1025,1.126086956521739,2.3034146341463413,0.525,1
13117,17053,893,1023,1.300068613249981,0.8729227761485826,0.2795698924731182,1
4942,7445,20577,1045,1.506475111290975,19.69090909090909,0.32,1
1591,1683,488,1066,1.0578252671275927,0.4577861163227016,0.045,1
4995,4570,3033,1086,0.914914914914915,2.792817679558011,0.6615384615384615,1
1076,1370,1977,1034,1.2732342007434945,1.9119922630560928,0.19,1
10316,12272,1896,1039,1.1896083753392788,1.8248315688161691,0.385,1
2001,1534,3681,1070,0.7666166916541729,3.44018691588785,0.0,1
8266,8134,1309,1016,0.9840309702395356,1.2883858267716537,0.01,1
745,829,1064,1029,1.112751677852349,1.034013605442177,0.365482233502538,1
3452,3467,1146,1073,1.004345307068366,1.0680335507921714,0.1135135135135135,1
62962,1234960,4068,1128,19.614370572726408,3.606382978723404,0.1846153846153846,1
9214,8372,6667,1053,0.9086173214673324,6.331433998100665,0.1173469387755102,1
18059,17113,3551,1077,0.9476161470734814,3.297121634168988,0.095,1
6071,5913,2072,1004,0.9739746335035414,2.0637450199203187,0.4555555555555555,1
17100,16779,8002,1027,0.9812280701754386,7.791626095423564,0.7936507936507936,1
1998,1797,3523,1155,0.8993993993993994,3.05021645021645,0.3238636363636363,1
9811,8951,2195,1086,0.9123432881459588,2.0211786372007365,0.5326633165829145,1
1715,620,5667,1088,0.3615160349854227,5.208639705882353,0.2311557788944723,1
1060,299,264,1018,0.2820754716981132,0.2593320235756385,0.321608040201005,1
7133,7060,1950,1005,0.989765876910136,1.9402985074626864,0.005,1
13746,15414,4901,1017,1.1213443910955914,4.819075712881022,0.81,1
786,341,71,1020,0.4338422391857506,0.0696078431372549,0.2456140350877192,1
8172,7567,1670,981,0.9259667156142928,1.7023445463812437,0.305,1
18933,17429,8103,1003,0.9205619817250305,8.07876370887338,0.025,1
22318,22359,1151,1159,1.0018370821758222,0.993097497842968,0.055,1
4851,4472,12101,1170,0.921871779014636,10.342735042735043,0.398989898989899,1
13782,13694,743,976,0.9936148599622696,0.7612704918032787,0.7948717948717948,1
5223,5118,57,968,0.9798966111430212,0.0588842975206611,0.1403508771929824,1
8054,8000,2983,983,0.9932952570151478,3.034587995930824,0.0,1
16967,15424,11152,967,0.909058761124536,11.532574974146844,0.1,1
10937,11365,423,1007,1.039133217518515,0.4200595829195631,0.365482233502538,1
16593,15082,1224,1016,0.9089375037666486,1.204724409448819,0.0301507537688442,1
14379,13072,5757,964,0.909103553793727,5.971991701244813,0.395,1
2597,10097,7730,962,3.887947631882942,8.035343035343036,0.4673366834170854,1
191,174,63,964,0.9109947643979056,0.0653526970954356,0.0967741935483871,1
4302,5119,2870,1137,1.1899116689911668,2.5241864555848723,0.7839195979899497,1
9018,9111,2769,981,1.0103127079174985,2.8226299694189603,0.025,1
1869,1431,2176,980,0.7656500802568218,2.220408163265306,1.4773869346733668,1
339,150,53,975,0.4424778761061947,0.0543589743589743,0.3018867924528302,1
3512,4492,1072,985,1.2790432801822325,1.0883248730964468,0.5778894472361809,1
3673,3567,1281,965,0.9711407568744896,1.3274611398963732,0.0,1
9072,16454,4164,1133,1.8137125220458556,3.675198587819947,1.0265957446808511,1
949,82,6,975,0.0864067439409905,0.0061538461538461,0.0,1
462,127,11,955,0.2748917748917749,0.0115183246073298,0.0,1
1659,738,44,962,0.4448462929475588,0.0457380457380457,0.1818181818181818,1
20300,20006,1640,1034,0.9855172413793104,1.586073500967118,0.8844221105527639,1
14368,23308,55415,957,1.622216035634744,57.90491118077325,0.4723618090452261,1
858,811,589,1071,0.9452214452214452,0.5499533146591971,0.3969072164948453,1
1400,1147,3865,963,0.8192857142857143,4.013499480789201,0.0,1
7207,8420,2672,937,1.16830858887193,2.851654215581644,0.6033519553072626,1
20390,20677,755,916,1.014075527219225,0.824235807860262,0.135,1
99778,97754,7574,1098,0.9797149672272444,6.89799635701275,0.4824120603015075,1
392,102,81,918,0.2602040816326531,0.088235294117647,0.358974358974359,1
